Listing ID,Title,Type,Seller,Price,Quantity,Image URL 1,Image URL 2,Image URL 3,Brand,Model,MPN,Frame Color,Frame Material,Style,Features,Lens Color,Lens Technology,Lens Material,Department,Lens Socket Width,Eye,Bridge Width,Bridge,Vertical,Temple Length,Country/Region of Manufacture,UPC
2.74276E+11,FLEXON 472 023 Silver Lilac Eyeglasses 472-023 50mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/13UAAOSw7iZeQm6k/s-l1600.jpg,https://i.ebayimg.com/images/g/eZkAAOSwbLJeQm6m/s-l1600.jpg,https://i.ebayimg.com/images/g/oYQAAOSwmXteQm6n/s-l1600.jpg,Flexon,FLEXON 472 023,472-023,Silver,"Metal, Plastic",Rectangular,,,,,Unisex Adults,50 mm,,17 mm,,29 mm,135 mm,China,Does not apply
2.74276E+11,FLEXON 472 027 Silver Ruby Eyeglasses 472-027 50mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/eKQAAOSwENVeQnHX/s-l1600.jpg,https://i.ebayimg.com/images/g/BQcAAOSwMN5eQnHZ/s-l1600.jpg,https://i.ebayimg.com/images/g/Y7AAAOSwWy5eQnHa/s-l1600.jpg,Flexon,FLEXON 472 027,472-027,Red,"Metal, Plastic",Rectangular,,,,,Unisex Adults,50 mm,,17 mm,,29 mm,135 mm,China,7.50667E+11
2.83787E+11,FLEXON 472 622 Rose Mist Eyeglasses 472-622 50mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/auAAAOSwq1leQnBG/s-l1600.jpg,https://i.ebayimg.com/images/g/sBQAAOSwBJxeQnBH/s-l1600.jpg,https://i.ebayimg.com/images/g/woEAAOSwGL9eQnBI/s-l1600.jpg,Flexon,FLEXON 472 622,472-622,Pink,"Metal, Plastic",Aviator,,,,,Unisex Adults,50 mm,,17 mm,,29 mm,135 mm,China,Does not apply
2.83792E+11,FLEXON 2205 Antique Light GEP Eyeglasses LGHTGEP 47mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/3vIAAOSw8bteUVcF/s-l1600.jpg,https://i.ebayimg.com/images/g/RZsAAOSwSlVeUVcH/s-l1600.jpg,https://i.ebayimg.com/images/g/lLYAAOSwGyZeUVcI/s-l1600.jpg,Flexon,FLEXON 2205,2205 LGHTGEP,Silver,Metal,Oval,Full Rim,,,,Unisex Adults,47 mm,,20 mm,,31 mm,135 mm,China,Does not apply
2.74283E+11,FLEXON 2205 Shiny Brown Eyeglasses SHNYBRN 47mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/VeAAAOSwDyReUVjc/s-l1600.jpg,https://i.ebayimg.com/images/g/hF8AAOSwr9ReUVjd/s-l1600.jpg,https://i.ebayimg.com/images/g/RrkAAOSwbLJeUVje/s-l1600.jpg,Flexon,FLEXON 2205,2205 SHNYBRN,Brown,Metal,Oval,,,,,Unisex Adults,47 mm,,20 mm,,31 mm,135 mm,China,Does not apply
2.83792E+11,FLEXON 2205 Antique Copper Eyeglasses ANTCOP 47mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/JkgAAOSwYOxeUVmx/s-l1600.jpg,https://i.ebayimg.com/images/g/PdIAAOSwTz1eUVmy/s-l1600.jpg,https://i.ebayimg.com/images/g/jlgAAOSwU7JeUVmz/s-l1600.jpg,Flexon,FLEXON 2205,2205  ANTCOP,Brown,Metal,Oval,Full Rim,,,,Unisex Adults,47 mm,,20 mm,,31 mm,135 mm,China,Does not apply
2.74283E+11,FLEXON 2205 Cashmere Brown Eyeglasses CSHMRBRN 47mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/UUwAAOSwlyBeUVp2/s-l1600.jpg,https://i.ebayimg.com/images/g/ZuYAAOSwhQpeUVp3/s-l1600.jpg,https://i.ebayimg.com/images/g/tj0AAOSwuEheUVp4/s-l1600.jpg,Flexon,FLEXON 2205,2205  CSHMRBRN,Brown,Metal,Oval,,,,,Unisex Adults,47 mm,,20 mm,,31 mm,135 mm,China,Does not apply
2.74284E+11,FLEXON 2205 Matte Silver Natural Eyeglasses NAT TIFLEX 48mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/O9IAAOSwbL9eUltS/s-l1600.jpg,https://i.ebayimg.com/images/g/kYYAAOSwSgFeUltT/s-l1600.jpg,https://i.ebayimg.com/images/g/u6oAAOSwdb5eUltU/s-l1600.jpg,Flexon,FLEXON 2205,2205 NAT,Silver,Metal,Square,,,,,Unisex Adults,48 mm,,20 mm,,35 mm,140 mm,China,Does not apply
2.83801E+11,FLEXON 183 Cashmere Brown Eyeglasses CASBRW 42mm Marchon Small,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/DKkAAOSwHZBeXEwv/s-l1600.jpg,https://i.ebayimg.com/images/g/L0QAAOSwxzleXEwx/s-l1600.jpg,https://i.ebayimg.com/images/g/zioAAOSwk~peXEwz/s-l1600.jpg,Flexon,FLEXON 183,183 CASBRW,Brown,Metal,Oval,,,,,Unisex,42 mm,,21 mm,,30 mm,130 mm,China,Does not apply
2.74329E+11,FLEXON 518 Matte Cargo Gray Eyeglasses 324 51mm Marchon,Eyeglasses,SunRayCity Eyewear,US $79.00,1,https://i.ebayimg.com/images/g/9REAAOSwtzZeig9S/s-l1600.jpg,https://i.ebayimg.com/images/g/7cMAAOSwwz9eig9T/s-l1600.jpg,https://i.ebayimg.com/images/g/8ZIAAOSwQC9eig9V/s-l1600.jpg,Flexon,FLEXON 518,518 324 Mat Cargo,Gray,Metal,Rectangular,,,,,Unisex Adults,51 mm,,18 mm,,26 mm,145 mm,China,Does not apply
